7879	956f	3b91	be21
269d	0101	1943	e06b
5714	176b	ed71	0624
14ae	d802	126e	ff41
4a0f	a5f6	83eb	1a32
37dc	face	8c2e	cdff
2aac	724b	07ba	0cc6
9875	7819	3b44	5146
9895	b9f0	29fc	d277
e91c	7a3e	55f0	90a4
77e3	8fb1	b664	9d0f
b5e4	90ec	a0ab	fc60
68aa	b97e	7b66	e391
929e	857b	787a	678b
5693	b37d	6aa2	f454
7c7c	6410	be51	3f60
3bee	8792	de6f	24c3
c344	fae3	e2ac	095d
37da	7595	ca21	228f
21e0	769b	9cf7	23d9
71e8	1ca8	27ae	bccd
8be9	f6aa	d3a8	a536
2d13	8afd	2fbf	79b9
c08a	88da	b8ec	d694
2921	324c	7a2e	5fdf
d2c6	dd72	432a	d118
78d6	7bde	80f0	f361
9ae8	0d71	d92b	c15e
2f81	31f9	21ed	0bf5
6eec	ca3d	3f5a	2b3e
316b	1ffb	7a87	bb95
0c60	b058	1370	5b17
5786	27a0	7523	6763
9b69	cbe7	7061	1cfe
360b	565c	fd79	ce8e
b91d	433b	0591	efb5
ac9f	32df	2a46	5529
4285	14a8	ac8b	fe47
9819	8b8d	4cc6	ae56
5127	f9a5	904e	8019
5f49	2e52	5d6c	14db
a2cc	4525	2eb7	2015
2b83	289b	98c8	5405
5b3d	994f	086d	d21d
84a9	a2db	f95e	7a16
cb10	2d0e	00c6	c10f
cc82	cbeb	d786	2278
8b39	c419	f858	451b
83ae	1127	cad1	7f21
7950	52b3	ca5d	a556
d89c	5a09	75f9	c539
ddc2	363b	5993	6ff1
a92b	9861	972e	c0bd
7023	76f7	b846	c311
f7f0	d877	8f90	2184
dbc6	de5a	e4a5	76ec
67ed	2c00	1055	944a
7d46	1a3d	ac07	00fc
e97e	5c87	2b4a	d34a
efbc	e8e4	772f	a860
8673	91a7	af92	db3d
ef9b	9bb6	58f9	bb4f
79c0	941c	c137	6452
d1ae	2f12	237e	8e71
a431	5394	fdff	5db4
28bf	f1c8	abda	f335
a514	9e3e	8a71	39fc
f77f	46ab	f5a3	2806
7a84	5b69	6406	251a
8149	941c	4e08	8cb7
e5ab	b30a	08d6	50dc
1cfa	3824	688f	bb72
168e	d26a	d00f	80db
0fb6	405d	5a62	11b1
f3c6	ee40	a16e	a913
ebf5	6646	4e78	c014
87bf	01cf	579c	83b7
738c	1ac0	452f	2db8
3848	4d57	f107	418c
6273	d931	1064	58e8
92b0	5ea3	9777	3f65
fe76	9c97	8a96	6edb
b6b9	3beb	4739	eeaa
e646	c886	84f8	28e6
3377	3a13	25e9	eaa2
04eb	f0bc	f21c	aad3
120e	206b	5529	acaa
1049	67f1	fa1d	dd4d
2d05	666c	a03d	46b7
fc96	130f	fc7f	6eb9
9550	f3ca	8f89	c506
48ae	fa13	ac1e	2692
5c75	fbe5	7fdc	44bb
60c3	8b83	e7cf	6755
78fe	4639	f66c	00b5
fb04	eab8	64dc	8c91
9123	49cb	63ae	98a7
adb7	7cdf	8608	7922
d342	6fc6	9b12	38e8
4435	8967	32e3	ec4e
d258	adad	cbfb	b6c6
2832	fcc2	b0f5	2c45
c606	bd45	2535	d545
ecc3	c54e	7d20	c165
ab0a	8166	6b65	efb0
d60f	bb70	db09	0d5c
d5f2	6f7d	f370	b29f
ded3	d4e7	8970	3367
95b7	d9f4	5042	00dd
4235	5f6e	47ef	1b1f
8f15	85ea	a229	19f9
f8b9	c7b1	9d7f	6153
fece	2c1c	a93a	62ce
457f	da68	d341	1681
6d3e	c0da	fa5d	823c
c301	06f4	c7cb	2b21
1e21	cb2d	4935	3c69
7363	45eb	02ab	8deb
123e	abdb	2f8e	6157
4402	5beb	64d4	50db
3a3b	3a18	71aa	d66a
485a	2b02	9806	9931
5bf2	a1c2	dc36	f55e
3d88	4bf7	3f7a	a6b0
0908	5638	5f25	d0e5
f1fc	bde7	38bb	7b7b
9262	2f4c	b632	0b48
f450	53ef	5cb2	1a43
0527	bce7	2120	a051
76b7	ed69	dee4	36b6
8eb9	6374	1043	13a7
a880	6408	3e9e	aa37
093d	9daf	8c25	ac76
1bbe	85b0	a41a	5b4c
5e95	a474	748a	c5b5
b328	f616	6c9b	5bd9
0a93	4eb8	3e49	ace7
5900	dcd8	1a61	0295
d85d	a4c4	7a75	0d80
5e55	8575	a5bb	1fcb
04b4	cd57	5f12	f471
dd39	83cd	c422	cee9
6744	ccea	aa0c	02eb
67da	9c2d	57e2	c1e3
a35c	baaa	2e7e	c33d
321e	6006	6e58	253c
918c	359f	eb8c	0085
378a	d02f	ff85	db83
e7c0	7360	0ca4	428b
9af6	3da0	bfc4	323c
aa2a	8286	0cfa	947b
c4e8	7010	eb50	70f5
a537	e94c	daac	3f4b
22e1	3e47	4008	8e63
3425	82f3	e982	5ea8
df0c	ad9b	c82c	2038
b421	5ce3	0287	3c61
92f5	4797	1080	4849
bde9	76cb	1ba4	2086
2167	5375	01bb	485f
8f06	80e2	f900	1f70
bc15	6f3e	4086	9048
3396	57c0	8e58	7f8c
04ea	4466	5ef0	2aea
367c	2794	e2af	306e
2bc4	3d4a	15c0	2708
099a	2aff	5faf	9e4b
a153	789a	f4f9	db31
1a85	cf22	5483	49b2
821b	a750	f2e2	af41
2fe6	4961	e169	b542
e6e7	3a2e	fa2e	ec1e
5e1a	ddc1	4c52	d718
d476	34ec	7ba3	0af2
7bc3	8d6a	93bf	4772
6d3d	959f	fd65	4391
493a	7576	12f7	9e6c
fd3a	99ab	9250	de1b
b370	2c70	653a	a73b
2cc4	172c	bfe9	0030
bd2f	07dc	071a	2dcf
565c	e29d	7663	9824
9017	53f2	4fac	cd42
897c	f82f	8c9c	cc7f
83a8	984f	c77e	2c68
cb46	271c	7e15	4eba
1be6	0b17	9fd5	5c5a
2933	3943	11c2	e4e1
c89d	c120	ef6b	6c25
75f3	ab1b	7bc4	7e71
567c	1689	1088	832e
46ca	cb98	a315	7606
0ed1	55bb	b9da	da3e
014d	3b1d	c285	807a
216f	4e68	bfad	42c3
4274	6873	3ea1	32fe
8fc4	6f3f	44b9	461d
da51	637d	68cf	739a
f774	af69	a6f6	1d48
7356	fabf	d47e	b6fa
494c	7715	7a9b	b7d0
0998	58ad	c24f	6bfd
1fe4	2701	d2c5	6125
39f0	97fe	9770	7223
8d6b	cf35	737e	2634
fe15	933e	4b81	ce73
0434	137d	2753	0737
03b9	5bab	7dbd	d74d
2334	0a68	598d	483a
1947	e808	c322	7585
a046	a68a	e3b8	70c0
b794	8b62	9f0f	bda2
750f	0032	4983	bcd3
e97c	584e	aebe	2a5f
4501	29d9	332a	27fc
744d	6e59	b74b	806b
5290	aa3c	3870	8118
5335	7510	0693	6e50
39d0	9f17	2e8e	e54e
be26	2a8e	2a31	c553
d3e1	6cef	5e4d	3f12
dfc2	8eb9	ac51	91d0
75c1	3bce	2d41	3fba
549d	b074	e179	c913
1b85	3131	c904	88ea
d723	90ec	1031	9bd9
ae5c	b58f	3803	906d
ae91	fde2	9837	5447
3f6e	08de	3e05	c6cc
b1b9	d2a6	9f6f	0a5d
1743	5822	e758	5a9c
506e	b181	6d16	c13d
a09f	bd00	1b82	c36c
c52a	ae7e	1e76	e06c
096a	038a	ba36	ed70
9c8f	36af	135a	82ea
1580	d10d	cfea	8ff2
052b	689d	761c	457c
15fc	bf9f	d3b2	3cc7
5556	1673	d839	80d0
0237	13ca	26a2	1bf5
a726	72f3	d06d	8866
a9b5	deef	04eb	f364
d2b3	eb98	09f6	f691
9f85	1099	4dd6	c4a7
59c7	d8a4	a18b	755b
aa0a	6895	c0a6	7bcc
cd3a	f5cf	bf54	f87a
101a	c5e5	18c4	3c40
275c	259b	d0cc	a78e
b9e2	e564	c1bc	a6fe
0960	b00a	f062	f53b
4a5b	9ddd	19c4	c361
657d	0bcb	eaf2	32ae
5c20	5177	fe81	2fad
0c57	6ca8	8a55	70f2
77dc	7126	46ae	07c6
4e7c	d93e	c529	f373
879e	c817	6cf5	7494
c726	4977	62e2	0933
68c0	04fc	b5a3	ffcd
f907	a102	9d9e	e0ee
b5c6	91c4	dcce	827b
d4e0	71d0	42c8	4cc9
f791	126e	f719	f99b
4a46	3c1d	ce8f	138f
967a	c5c2	20cc	9203
2333	ebb3	2149	2eae
4bbe	0c41	ec5b	5e1e
1978	deb3	f496	aa11
3992	5106	f6ef	5d46
c651	0490	5b91	fb7f
e5b1	9789	67e9	b9fe
f402	4a17	6c8c	d9b0
3a58	2211	f4bc	30ae
bf0a	8249	7f94	2580
404e	2e55	9fba	2648
75ae	d6f1	2aa4	bf55
cd45	8240	7498	bcbd
e908	f036	cba2	04bf
9aea	c614	5893	df68
0812	6753	79f1	f715
277a	8311	3f2b	8623
e77b	7842	7e71	0233
542f	2be9	8fd9	b71f
2fe5	e05b	2614	009a
3ada	338c	2a3e	b3f0
4352	2322	3e1d	ed6f
b805	fa0d	aff5	96b5
1308	6e5f	81f0	5e46
5155	1c2f	c6f4	2446
f55d	ff19	19a8	57e7
b06b	933a	bdfe	63b7
5790	7d95	16b0	02b8
ea9f	4ab2	600e	1db8
0e12	dd15	27bf	5d6f
547b	2446	a56b	e0d9
3c28	9424	1cb7	3d5f
71c1	cf60	5d59	3cf1
a80a	8f7f	47a0	99b4
b724	f262	166f	c1a9
6c52	0bde	c987	10b4
50b4	6a30	247b	1216
5dd6	0f51	b79a	e7cd
c53f	bfc7	f4b6	dfdf
0078	6c17	be86	9a1b
a283	45e9	1385	d839
f6d6	4470	331b	323c
09ab	8ade	7c86	6ed3
dad0	96f1	3464	2198
5b47	d81f	789f	fdc4
fc20	55d4	fe17	2026
ae7c	0fcc	45b3	c46d
6d61	4358	9e01	6f77
7de4	9a79	edb3	567e
e879	6830	b965	1835
9f4c	034b	c49a	919f
d4db	0b47	5cb7	5de7
e17b	d768	e3f3	4f5f
e3d7	9697	75ce	db54
df52	e5b2	0589	3e06
bbf4	9088	c0c0	c130
41a8	8fee	985b	1f85
48cb	bacf	9861	8b2f
c7b4	e48c	320e	562a
0038	dad5	fe29	85b8
b21a	1599	e070	0022
aa8d	e779	4423	3a07
ba43	0494	9fb1	9d10
1542	1d41	13cc	0a50
ecdb	cc70	9342	b34a
d012	89d1	f9a9	22a3
fdf2	05a6	b2ba	fe72
329d	5826	afe5	d65f
3c75	b2a0	2a73	ddcc
44f4	2de6	7f95	342b
2fc1	b232	5bd2	3758
40dd	c02b	8078	de3c
40e2	6540	132a	a727
2724	2e7d	4fe2	b660
d7ae	7610	cbf9	2430
342e	7577	6d39	7cf7
d602	a9c6	b642	38bd
483f	9b5d	8920	04da
3c7c	050c	1e65	eb3f
eb65	dc85	3c4c	fd22
3ad6	ec5e	232c	8859
4d8e	3e99	6555	be84
493c	4be7	9f5c	6909
79f4	6abf	4634	c545
c14d	beda	2176	5c58
db39	617c	198a	81d1
350a	35bb	585f	fe4d
5cff	bf78	7efa	1dc3
b0ba	d92d	cf29	c15b
ed31	38fa	7e56	7e73
7b1b	86bb	8b3c	9642
1719	455d	5a6f	bec0
6e79	a03b	d914	f8a4
c1db	a5dd	b02c	e05b
ef66	6057	e568	47ac
92ec	bf1a	d904	d5e7
d635	4a8b	7a4e	7909
5a22	007e	60f9	2abb
ada5	0202	2733	2eb2
ef2c	126f	a770	0d2f
7993	6dba	018e	8633
827f	4400	88a2	9438
2775	4df8	94f9	7dec
b630	5c98	3697	05ea
81d5	ac86	c259	d32d
05a2	5e7c	bb43	7f6b
31e6	5566	7bca	0ea9
bdc4	a781	c5d7	0664
5c86	75c4	93a2	24fd
8fc2	162d	351a	c92f
fc66	b9bf	4ca8	3c81
d909	f9a4	10d9	bbea
10ab	5e36	9bff	bd60
cf8c	89b9	b5c2	d441
dbc7	ea4d	6ad7	7d51
9baa	e2c9	4506	0b6f
fc50	928e	b61a	fe51
5f63	64fb	2fcc	09a1
722a	03a5	2ffc	b975
3622	cfe2	0aa2	e24c
ba3e	dfea	fab0	2b53
1f99	568f	eb98	a6cc
7048	6c2d	5cf3	d7d1
13ae	9d22	e349	2f67
bb97	2581	b640	f663
b21c	2c41	687e	5021
2262	3f23	1141	ad2b
b36b	aee1	c097	ce0f
7431	234f	891f	4a80
a211	dcbc	3412	747e
0b52	bf21	f65d	f212
83fc	7463	cfea	a285
77b2	c79b	9223	c5d4
506c	6232	9191	00be
46b8	35f3	b52e	e462
4876	d458	1b0c	c5ec
cae1	d7aa	03aa	1c4d
29dc	82d9	2131	05b2
8707	cae3	f746	a7d9
91f7	5b47	93ce	29df
353e	01d2	fd2c	f119
7e08	5ccf	9e63	a5c3
7c2a	ed47	7735	dc4a
7260	ea35	9fec	71e8
092a	7473	5ec2	d954
9212	4167	3988	7b96
9c1e	6893	6639	ba1e
a11c	c8c9	9257	c8a2
c9cf	0dad	93a1	bd65
42c0	c842	34f6	a3b7
6a7e	245a	80d8	458e
1048	8650	2946	054e
cc30	fef8	800c	274c
7858	9a27	f3a3	85dd
5101	06e6	60bb	4f7f
fe38	5e58	f3fa	3f1d
5133	f884	49c4	4ad8
a1c2	53d7	880b	afa6
41f7	33d5	a205	225b
eee0	ddbe	51b9	6746
f944	aa7d	e5a7	2181
916d	2c1d	f8bf	f524
472a	85f6	67eb	2ce9
4919	997d	6bce	b71f
fbb8	ccab	a456	e38f
5fdd	db11	b67c	e4b7
43f8	0953	f9d4	b949
742a	310d	529f	9540
c19d	c6ac	663a	bf16
d608	20e6	083b	4982
7e5d	4f43	45df	9ec6
60bc	bc89	9030	98a7
d40d	ca01	27bf	5076
ee35	997d	d437	4835
877c	5c97	06d2	b891
0407	453e	7d58	d8d6
fef4	db51	9f84	065d
b683	0c6f	3c8b	d407
0bdf	c8a8	2089	365f
dbb6	9d1a	f1fe	c9a7
31eb	648b	654e	1994
9049	e099	e0b7	9a8b
d5bf	de68	1c4a	ccfa
bde4	9385	4a5f	4389
3f81	f246	fd8a	b8ce
a115	68e3	6159	68a2
78d3	07ab	e63f	b992
f7ac	62a4	49cc	db89
13f9	7dfe	3f37	0b9c
1d03	4174	4736	e8de
868b	4605	806f	b233
d6df	83d2	2559	434c
04c7	0a61	050c	03f6
dac3	28a3	d0e9	2565
a9dc	201c	86ad	317e
5dd3	fda9	9031	7407
1691	19d1	d8e0	a5c1
14d3	0f03	ab6f	52fa
8e76	71b1	41c1	65bd
9a74	45a0	28a2	866c
fbad	c309	fe86	9bcd
7834	cf88	aa09	8112
2168	c656	28a0	ab28
64d5	847e	9402	51bd
3289	a131	a4cb	1fe9
6443	ec70	1bd1	3367
4163	1f52	fb18	6583
4f9c	3ca3	5ca6	53c5
163b	89af	17a7	eba1
10a3	09ec	4445	68ca
e77b	0a2e	bf35	7da7
62c9	812b	cf33	56a6
0fe4	d0b0	dc30	d100
d2e2	1f83	e956	b7bb
0bb2	b407	1ab6	0879
7fad	0bad	2125	9007
dad1	8104	f221	6be6
1838	8eb9	32c6	f574
dd01	0b7f	c271	9d1a
d339	e4ab	4ac5	c800
9fb9	3ab4	0a9c	b245
b7b4	ec01	296d	a05f
0874	d339	9c63	9171
d347	5731	fde2	c277
92ec	94cd	913a	dbe9
3804	acb2	4f0d	a104
8fa9	ff77	bed2	a706
d366	ec1d	6785	05e7
9555	5ebe	82b8	7d6f
ddf7	6340	9e32	6091
ba57	f49a	2b2e	af21
acbb	8467	d11e	752a
7214	ff63	1e59	f830
e1be	d811	18fd	4972
569c	fc3f	a954	d486
2429	4048	18a0	d01f
4f76	b9ed	68da	f984
fb48	0709	c6df	8a2a
c9dd	2c66	0e45	bd37
41a3	e11e	f415	7493
fe67	8bdb	6c46	d52b
943d	ac1c	3db5	85cd
04a4	f8f0	d699	6fbb
1c12	8394	c61e	a91d
5823	5e35	1e71	b8ac
f95a	b5f7	d863	dd93
9d45	d5df	5d24	a489
ff47	c1e5	f7ed	381f
4e6e	955d	7d55	27c8
3127	4afc	13de	3f5d
e391	2699	32f1	b5a1
708d	1d71	2e62	1182
a2a2	39be	a93f	44f7
14f2	6b35	cb55	4a42
3afb	90a2	941c	256c
2fd7	947f	3942	2296
cac2	8827	ecbb	136d
272b	66bc	db70	8a42
c26e	0531	cf66	0f3d
6222	f6ef	e406	cb8d
7f12	3488	056a	e8c0
5ef4	8fcf	012a	6efb
49e4	1921	b2f3	1741
e285	4696	8923	18dd
1103	67ae	1214	e64e
ea0f	768a	451e	81de
5d50	5a14	a2b4	7ceb
29ca	a72a	5c89	860c
64f8	f458	0cd3	c5d4
46ee	9202	ca3b	5a02
c88c	d51d	3fc8	5d8a
57bf	0d91	fd72	5326
8774	d2bf	857a	089c
516c	6d1e	6952	375c
0013	67aa	23dd	9320
d730	3dac	f36b	1955
5779	7d8d	fdc7	2034
516a	987e	0647	57cf
ee3a	80b8	d856	f193
0f2d	c972	9e91	da8d
d327	0a1e	1f2f	d621
59dd	fa56	fbef	c634
6700	f444	8e02	abec
4378	d829	396a	4be1
d489	2c1e	ff8b	c709
aecf	5f0a	abe3	4ef5
04ec	1b51	7b27	e845
c87f	b8c4	ad3e	5789
654b	2a8b	e28f	3e62
6436	80cd	0bd5	1f29
fc8e	c216	57b0	1cb9
c96a	796b	aa9f	9a14
afa2	a589	0194	fa0f
8634	6e62	f445	5d9d
fa9a	b1ce	8412	3fe6
a381	1206	e5d1	a611
e579	732e	85de	eb62
adeb	4fca	01c5	be48
8a8a	3bd2	bed6	5444
c7c9	6f0b	94e1	316e
940b	5142	03ff	a9fe
38e4	fc3c	aec5	baa3
98db	837f	b8fb	532f
0f99	028a	84d2	82d6
5d35	2da3	7073	a135
00bd	fb4b	7837	c570
5fcd	2271	0ccc	8312
b920	531c	aba3	b1a5
618f	ccff	9330	b127
f8de	6ca7	898c	d589
585b	9c5e	b0ad	fd82
bb04	c040	2b87	3ce5
385b	b611	b279	4bd9
fde2	52a7	984c	575c
3441	536b	9bc2	89ad
57d6	ec15	138d	3a2f
db88	8ba2	d447	5d4a
3516	ce10	4ac5	b67f
5e0c	85a9	273b	8131
ee8a	ef61	fc28	8dee
de65	6cc7	bf92	8792
51f7	e1ff	bee6	4487
9cc4	ef5b	4078	d2dd
c9bd	acf2	499e	9e0b
2138	6839	c57a	714c
98db	9127	010e	0653
cdad	b408	fc48	6a19
1952	b9ab	44de	231d
377c	235e	a936	45f9
8063	c7bb	9fca	5163
5213	0e83	7f38	4a3c
c372	4f8e	ea89	a7b7
985d	8247	99f3	32c5
7d9c	e100	e0d6	0ace
a508	d213	09c4	89e1
2cbd	ed09	56c9	740a
377d	80dd	86b2	eb67
818f	b437	487d	920c
f920	8c75	c882	5034
67d8	6990	9c2f	614e
d951	2f79	9fc1	a101
5452	edb1	6867	9257
c94a	ba35	9225	78d5
25b7	caed	9da5	1be1
cb59	d2b6	f07b	417a
67c5	7a6b	eca5	c855
e45e	752f	4cf5	9bfd
1004	e804	9897	f337
552f	a1b9	8388	3958
c117	a7ad	87e6	a29a
0e2f	cb76	bc54	bf33
9c15	c8fb	a22b	6222
a355	5732	1160	d197
7f76	674f	81b4	a325
d186	3338	4b3d	3cb8
54bd	9dbe	a3d5	2ff9
be2d	ab88	8e7f	0051
5741	e602	c2b3	3828
9819	8251	7ffb	fe44
0e3d	1093	1cd5	70ef
4422	7055	bb63	85a2
d8e1	2811	9512	ced6
3f53	1fe9	d436	d986
2ed6	49fb	7e96	ba42
cf95	86bb	bf37	360e
ac2d	a491	cf98	d444
c7d9	f173	46b2	7def
4a19	87dc	caed	6109
0732	7ad1	b6b9	dab6
1cfd	4189	3a91	5589
6b15	afe5	759b	ef2f
39af	a8eb	b9e7	d4e2
5699	00d0	7088	2a6c
acd8	e31a	280c	be0f
6ff1	b9f8	2229	cf84
f605	635a	1d90	a891
f95b	18d7	c945	1452
55fb	d80c	0d03	22c1
95ae	bbe2	bbe5	5a91
13c5	6a93	e11d	78c7
d95d	d82b	8af5	b537
8826	7230	a61b	7d44
95a5	740e	ca53	d394
57d8	5312	2133	97ef
b677	cb90	e2fb	c2ee
bc8e	ad44	6b59	be54
47c6	d36b	42bc	6d2f
c480	ab77	f3fd	5027
09ee	1d00	a2d6	3251
7e5a	6830	067c	eb7d
373d	1819	ac55	a431
53eb	1da4	328e	5b55
2517	0794	f383	b6fe
caa3	73df	c299	0d62
4f1d	9675	44b9	6ea4
0d11	38a0	efd3	5066
21bc	e7b7	6a72	bf2c
2b8c	681d	e1c6	a3ec
8302	6c0b	cbd7	5c70
cb48	70f5	07d4	75ac
986e	cce5	caa6	28d7
99b3	bd9b	cbb3	0952
7b10	f175	9940	5c14
f582	cfca	31ff	aa31
3424	b929	4a6e	66c1
d263	07c5	6b4f	b723
582c	0515	6d0b	0bc5
f549	f12f	f56d	9a4c
bfd2	ad5d	278a	1600
a897	0a0e	e5f7	f139
48b6	31f5	a48a	d1f2
4682	f95e	7c3b	cfc3
1a4b	c2e6	8b29	01c1
ad03	0166	7a68	552f
6901	ddcc	bba8	9184
c491	5bcb	3cb0	5496
825a	0cb8	f1fc	8209
96df	5d89	7372	285d
1acd	c657	785e	9fc1
4553	5286	bd43	d1d2
02d2	2013	a482	3c04
40ee	0284	1dde	ecf0
85a3	a624	ad96	129f
59ee	db97	49fe	05cc
c455	2715	525e	0a41
fbe7	d2a4	a20a	b4d4
eed7	3dcf	0d1b	400b
46c2	48a3	a0f4	268d
a9c2	d382	e582	f31f
eadf	21f9	f86c	f492
32f9	3c9f	a78b	01e4
0bc2	ac6d	32fb	2a41
20b3	6ecf	b331	20e7
279a	4fea	a534	7a73
0b95	6171	f46e	30cf
63b4	b8f3	eac1	4dcc
2458	e81a	d696	6234
2494	929e	c1b7	918b
c44d	d742	b7eb	e8b9
4d69	8c0c	0d85	1a23
25b3	102b	90e3	5e79
5d4d	c236	5733	9467
a0db	d1c6	3f39	eb56
b45c	ae92	5f1c	76b0
3397	9940	bf6b	8f9a
c75f	7dfb	a87d	01b5
00a4	7586	896f	3ed0
88dc	0a01	c25d	607b
b472	9561	1df0	5b30
a6e0	1302	d1ec	e217
165f	c48c	93b8	7357
af56	baef	52e6	ad25
b8c4	bc11	4bcf	6815
4fcc	e05d	3111	a647
fcb1	92fe	3746	650d
f797	5e65	078d	3c52
82d5	9ef5	8fe0	f5d2
0a02	df78	f1bd	e311
c25f	a47c	c769	98f1
4b37	dd0f	c537	79ba
e53a	38ce	0968	7828
e217	b628	dfc0	35cb
e165	32c6	9bdf	fa0a
fd87	39c0	ccf0	a4bf
88e6	7f59	3f8e	04a5
09d2	09c8	1979	4b11
0405	12ac	8441	d789
1eb4	93a2	94ab	cd6e
8f7d	1cec	008e	8e19
bd33	81fa	d8a6	2f1d
05af	7af0	e688	4c3d
7994	d8bd	93d9	f5e1
0585	de3c	c147	ca49
24dd	e0ab	ff5c	5e4f
f6cd	b6fb	691a	2771
60f7	2898	6043	e7b9
25b2	aef1	3ec4	a161
fd0a	4be6	17c1	0075
b862	0d1a	14a7	c964
0ba4	77ed	a8e2	9482
6240	d17c	6b0f	8a2b
1458	397c	3ba4	5ebc
0e82	c030	294b	88db
0e2e	fbaf	7c0b	0f67
97dc	9767	c197	01d2
3c04	32d3	84bf	c8d6
8129	5801	9a03	87f8
157d	0d16	357f	b6b8
fc21	73a0	05b1	99fe
24f0	37c6	9d87	5178
976f	d00d	3d2e	b445
dc58	765c	93e3	d047
9591	fa99	ba81	6c0d
b482	48d1	8036	53f1
3895	54cb	be81	5f0b
b51f	cd96	5d49	fcbc
3f8f	33fe	ae06	05b8
7c7c	494d	e626	0eb0
6432	b396	f72b	8407
8997	13ff	ece2	9b97
c2e7	3cf9	733d	0f0b
fa15	37ce	c4f6	ab07
6544	cbaf	8629	af24
cec3	cc1a	d0f9	7ecf
54b2	e153	6f8c	2a95
c513	2b9c	c75c	a8a5
6a74	c9cb	7956	c7df
f366	c27c	4bf8	462b
947e	6a54	f9a4	fbbd
9dca	8bd7	13ed	c406
a209	5147	7029	101f
e56b	f131	545b	4f8a
93d0	9918	1012	47a0
b6d2	95e9	5e17	4ad2
1845	06bc	16fe	ccb2
1eda	fa0b	7d45	c6b8
9f04	a8bf	4677	f035
fe33	fe84	f470	0478
a6e2	7acf	3fbb	52f7
238f	2370	3f88	47ab
482b	ac10	5a7e	3e52
83e2	18ff	feaa	f0c5
8289	a93a	49ab	5dcf
1441	6a37	e53a	1b49
3aad	ce58	993d	f3b5
9124	eb35	905d	01b8
cbda	c874	a944	0069
4bd0	8658	1782	e518
5571	b8f8	c995	d13e
8047	4439	b624	751e
0811	9102	ae4e	efee
d404	4c64	8d66	6034
a675	1200	dbcf	27da
c5e6	9d8b	80d3	c81e
b544	a4a3	7846	56e6
ce1d	afb4	d20a	d014
9a0f	7d81	b884	5abe
2083	8e4c	b05f	3b00
984f	0e93	330d	66c9
2f02	c00d	5880	513a
dcce	c9f2	f458	2c01
14c0	19e8	c511	73a8
784e	fd8c	1a9b	6ec4
700c	c336	8dd6	483a
46a2	5e05	fd90	71eb
7f87	9466	6da0	76ba
8d1d	b875	d9fc	f06d
c76c	43e1	43f3	2d5a
8760	d6d6	820d	cf67
915a	4c10	740d	3ad3
5b8e	6093	5002	be45
3630	aab9	1088	e64c
9cf7	850a	cfba	fc48
b8cd	35f1	011f	ddf5
b4b7	276b	dea1	769a
281d	ca8e	42ac	9b6d
1812	2604	9fe4	00c2
c104	dbf5	b27e	8215
f6fb	31fd	288a	62b7
02be	fd2e	988f	d696
b359	da53	d6a5	5edb
f23b	cf1e	bc08	2bbf
da39	433d	d135	064d
2128	8f0b	eb41	9f64
2481	0bb2	91f7	dc81
7ea7	8e1a	74d2	02b8
81a9	73be	88ef	a566
a440	c7b5	0d62	d3a7
9c1b	6467	ee46	2c00
33e2	594f	ccaa	4a68
9d5d	7589	873c	3934
0e7c	05f7	aad9	a683
d635	ffdf	a5d7	9dd7
f841	c48b	b487	0b28
44e9	ba78	0aa1	27ac
b58f	e8be	b6e7	e069
0f2f	d10a	1198	1063
6034	e7a0	5fff	dae2
7fdf	e9e3	42e3	cd46
337a	5911	7edb	8937
05b0	a669	ee29	16ef
78f0	b8fa	4e7c	f84e
6aa0	dc44	3e62	9b5b
c7ef	28c0	8e40	2ef3
a3ba	2e27	4275	1f08
629b	a3da	455e	312c
8afa	0006	4832	38c1
f865	e4dc	c83c	444e
9f45	6ab4	99c0	dc89
4bc3	4081	f2c6	c8d1
86f2	b8c5	6704	459e
8962	f11b	f8e4	8031
1c2e	ada7	5466	9296
de46	e3f6	2dd0	6788
703f	0fc9	ba17	256f
ed64	b694	993f	27e3
1e3f	3014	3c9b	3af4
5cc7	7231	86ee	cfab
de5c	5764	c897	238f
31b8	0514	b426	5f0c
6491	a36c	74fb	1665
f02d	6c3f	f581	cc5e
b6b5	4c24	5b4e	925b
c422	5868	b9fc	3b6c
9551	0a34	a8eb	6f01
c7e7	14e4	575b	2c8a
777b	b440	e659	aea6
7874	ebc7	d6bd	227c
81fa	62ad	dde1	4819
6176	f3b1	4c23	902e
e5e5	56ba	2ab8	c07e
8b68	ecc8	6b8e	86ec
3463	e3ba	83b2	6eeb
5f84	1e88	1600	c8c0
a90e	aab7	9ef1	79ea
a21c	ce39	9c0f	ac64
f399	700b	087d	3b69
4946	0170	3113	d85a
4167	d847	7f86	7f46
7227	39d6	86dc	e41c
32d3	3117	b8e2	b5fc
2f85	905a	692b	ae0d
499c	2167	b421	5997
d8e0	471a	882d	5acf
41e5	19c5	fcd9	0f8f
b492	e6f3	76e7	930f
db67	11b9	a844	cdb3
8118	e61c	d98f	7b2b
d2ca	a65a	eccd	886b
70e4	6072	ee83	3742
1c4e	4270	19a4	4495
2816	09ea	8325	3ebb
ff69	b529	396b	4041
466d	db71	4651	74c7
2739	1bf8	2666	3383
d670	810f	e531	4d9d
84f4	deef	eb89	a728
e74c	40e4	b243	b19b
908e	ba98	9d8d	42fe
5c32	2657	c185	4711
